FIPS,Name,2011 Unemployment Rate,2012 Unemployment Rate,2013 Unemployment Rate,2014 Unemployment Rate,2015 Unemployment Rate,2016 Unemployment Rate,2017 Unemployment Rate,2018 Unemployment Rate,2019 Unemployment Rate,Median Household Income (2019),% of State Median HH Income
36000,New York,8.3,8.5,7.7,6.3,5.3,4.9,4.7,4.1,4.0,"$72,038",100.0%
36001,"Albany County, NY",6.9,7.1,6.1,4.9,4.3,4.1,4.2,3.7,3.6,"$69,408",96.3%
36003,"Allegany County, NY",8.9,8.4,7.5,6.2,6.5,6.3,6.6,5.6,5.5,"$49,411",68.6%
36005,"Bronx County, NY",11.9,12.4,11.8,9.8,7.8,7.1,6.3,5.8,5.4,"$41,470",57.6%
36007,"Broome County, NY",8.6,8.7,7.8,6.6,6.0,5.4,5.5,4.9,4.7,"$52,179",72.4%
36009,"Cattaraugus County, NY",9.3,9.3,8.5,7.0,6.3,6.0,6.2,5.3,5.1,"$50,783",70.5%
36011,"Cayuga County, NY",8.1,8.3,7.4,6.0,5.3,5.1,5.0,4.5,4.3,"$58,055",80.6%
36013,"Chautauqua County, NY",8.2,8.5,8.0,6.8,6.0,5.8,6.0,5.0,4.7,"$50,143",69.6%
36015,"Chemung County, NY",7.8,8.4,7.9,6.3,5.9,5.7,5.5,4.6,4.2,"$58,400",81.1%
36017,"Chenango County, NY",8.7,8.6,7.3,6.2,5.5,5.1,5.3,4.7,4.4,"$51,894",72.0%
36019,"Clinton County, NY",9.6,9.4,8.3,6.6,5.8,5.4,5.3,4.4,4.4,"$59,069",82.0%
36021,"Columbia County, NY",7.1,7.0,6.0,4.7,4.0,3.7,3.8,3.3,3.2,"$71,563",99.3%
36023,"Cortland County, NY",8.5,8.6,7.7,6.5,5.9,5.7,5.8,5.1,4.9,"$55,143",76.5%
36025,"Delaware County, NY",8.7,8.7,7.9,6.6,6.0,5.5,5.5,4.8,4.7,"$51,038",70.8%
36027,"Dutchess County, NY",7.5,7.8,6.7,5.3,4.5,4.2,4.3,3.7,3.6,"$84,564",117.4%
36029,"Erie County, NY",8.0,8.3,7.4,6.1,5.3,4.9,5.1,4.4,4.3,"$60,620",84.2%
36031,"Essex County, NY",9.1,9.6,8.3,6.9,6.0,5.3,5.5,4.8,4.7,"$55,091",76.5%
36033,"Franklin County, NY",9.1,9.6,8.8,7.3,6.5,5.7,6.0,5.1,4.9,"$48,943",67.9%
36035,"Fulton County, NY",10.6,11.0,9.5,7.7,6.4,5.7,5.8,5.1,5.0,"$50,061",69.5%
36037,"Genesee County, NY",7.8,7.9,6.8,5.5,5.0,4.6,4.8,4.2,3.9,"$62,570",86.9%
36039,"Greene County, NY",9.4,9.9,8.8,6.8,5.6,5.0,5.2,4.6,4.5,"$54,746",76.0%
36041,"Hamilton County, NY",9.9,10.7,9.5,7.5,6.7,6.5,7.4,6.9,6.0,"$60,148",83.5%
36043,"Herkimer County, NY",8.7,8.8,7.8,6.8,6.2,5.5,5.7,4.9,4.9,"$55,778",77.4%
36045,"Jefferson County, NY",9.8,9.9,9.2,7.6,6.6,6.2,6.5,5.6,5.6,"$53,829",74.7%
36047,"Kings County, NY",9.6,9.8,9.4,7.6,5.9,5.3,4.7,4.3,4.1,"$66,501",92.3%
36049,"Lewis County, NY",9.7,10.0,9.5,7.9,6.9,6.7,6.6,5.6,5.5,"$56,599",78.6%
36051,"Livingston County, NY",7.6,7.8,7.0,5.8,5.3,4.9,5.0,4.3,4.2,"$60,268",83.7%
36053,"Madison County, NY",8.2,8.5,7.6,6.4,5.7,5.3,5.5,4.8,4.5,"$61,713",85.7%
36055,"Monroe County, NY",7.7,7.9,7.0,5.8,5.1,4.7,4.9,4.3,4.2,"$62,159",86.3%
36057,"Montgomery County, NY",10.2,10.4,9.2,7.5,6.6,5.7,5.7,5.2,5.1,"$52,092",72.3%
36059,"Nassau County, NY",6.8,7.0,5.9,4.8,4.2,3.9,4.1,3.5,3.4,"$117,767",163.5%
36061,"New York County, NY",7.8,8.0,7.5,6.1,4.9,4.6,4.1,3.7,3.5,"$93,007",129.1%
36063,"Niagara County, NY",9.1,9.3,8.5,7.0,6.2,5.8,6.2,5.2,5.0,"$56,371",78.3%
36065,"Oneida County, NY",8.0,8.2,7.4,6.1,5.3,4.8,5.0,4.5,4.3,"$56,516",78.5%
36067,"Onondaga County, NY",7.7,7.9,6.8,5.6,4.9,4.5,4.7,4.0,3.9,"$61,597",85.5%
36069,"Ontario County, NY",7.1,7.3,6.3,5.2,4.7,4.3,4.5,3.9,3.9,"$66,754",92.7%
36071,"Orange County, NY",7.7,7.9,6.8,5.5,4.7,4.3,4.5,3.9,3.8,"$83,188",115.5%
36073,"Orleans County, NY",9.2,9.7,9.1,7.7,6.4,5.7,5.9,5.0,4.7,"$53,115",73.7%
36075,"Oswego County, NY",10.8,11.0,9.9,8.1,7.2,6.5,6.5,5.5,5.4,"$57,640",80.0%
36077,"Otsego County, NY",7.7,7.9,6.8,5.7,5.4,4.9,5.0,4.4,4.2,"$52,414",72.8%
36079,"Putnam County, NY",7.0,7.2,6.1,4.9,4.3,4.0,4.2,3.7,3.7,"$105,600",146.6%
36081,"Queens County, NY",8.1,8.3,7.7,6.4,5.0,4.5,4.1,3.7,3.5,"$72,975",101.3%
36083,"Rensselaer County, NY",7.6,7.7,6.7,5.4,4.6,4.3,4.4,3.9,3.8,"$70,688",98.1%
36085,"Richmond County, NY",9.2,9.5,9.0,7.4,5.8,5.2,4.7,4.2,3.9,"$86,624",120.2%
36087,"Rockland County, NY",7.1,7.3,6.3,5.2,4.5,4.2,4.3,3.7,3.6,"$99,831",138.6%
36089,"St. Lawrence County, NY",10.4,10.2,9.1,7.8,7.3,6.6,6.7,5.6,5.5,"$51,742",71.8%
36091,"Saratoga County, NY",6.7,6.8,5.8,4.7,4.1,3.8,4.0,3.5,3.4,"$89,071",123.6%
36093,"Schenectady County, NY",7.5,7.7,6.7,5.4,4.7,4.3,4.5,4.0,3.8,"$64,960",90.2%
36095,"Schoharie County, NY",9.0,9.2,8.1,6.7,5.8,5.4,5.5,4.8,4.7,"$58,927",81.8%
36097,"Schuyler County, NY",8.8,9.4,8.8,7.0,6.6,6.0,5.8,5.1,4.7,"$52,215",72.5%
36099,"Seneca County, NY",7.9,8.0,6.9,5.6,5.2,4.8,4.5,3.9,3.8,"$51,064",70.9%
36101,"Steuben County, NY",9.1,9.3,8.4,6.9,6.3,5.8,5.7,4.9,4.6,"$53,167",73.8%
36103,"Suffolk County, NY",7.6,7.8,6.6,5.4,4.7,4.4,4.5,3.8,3.7,"$105,241",146.1%
36105,"Sullivan County, NY",8.9,9.1,8.1,6.6,5.4,4.8,4.9,4.1,4.0,"$58,851",81.7%
36107,"Tioga County, NY",7.7,7.9,7.1,6.1,5.5,5.1,5.1,4.4,4.1,"$60,699",84.3%
36109,"Tompkins County, NY",6.1,6.1,5.2,4.4,4.4,4.2,4.3,3.6,3.6,"$59,176",82.1%
36111,"Ulster County, NY",7.8,8.3,7.1,5.7,4.8,4.4,4.5,3.9,3.8,"$64,090",89.0%
36113,"Warren County, NY",8.9,9.2,8.2,6.6,5.5,5.3,5.3,4.7,4.6,"$63,240",87.8%
36115,"Washington County, NY",8.1,8.3,7.5,6.1,5.0,4.6,4.6,4.2,4.1,"$56,897",79.0%
36117,"Wayne County, NY",8.4,8.6,7.6,6.2,5.3,5.0,5.0,4.1,4.0,"$61,989",86.1%
36119,"Westchester County, NY",7.1,7.3,6.3,5.1,4.5,4.3,4.5,3.9,3.8,"$101,741",141.2%
36121,"Wyoming County, NY",8.7,8.9,7.9,6.5,5.6,5.3,5.6,4.6,4.4,"$58,214",80.8%
36123,"Yates County, NY",7.5,7.8,6.8,5.7,5.0,4.4,4.4,3.8,3.7,"$60,612",84.1%
