County,Square Miles
Bronx,42.03
Kings,70.61
New York,22.96
Queens,109.24
Richmond,58.48
Albany,523.45
Allegany,1030.22
Broome,706.82
Cattaraugus,1309.85
Cayuga,693.18
Chautauqua,1062.05
Chemung,408.17
Chenango,894.36
Clinton,1038.95
Columbia,635.73
Cortland,499.65
Delaware,1446.37
Dutchess,801.59
Erie,1044.21
Essex,1796.8
Franklin,1631.49
Fulton,496.17
Genesee,494.11
Greene,647.75
Hamilton,1720.39
Herkimer,1411.25
Jefferson,1272.2
Lewis,1275.42
Livingston,632.13
Madison,655.86
Monroe,659.29
Montgomery,404.82
Nassau,286.69
Niagara,522.95
Oneida,1212.7
Onondaga,780.29
Ontario,644.38
Orange,816.34
Orleans,391.4
Oswego,953.3
Otsego,1002.8
Putnam,231.28
Rensselaer,653.96
Rockland,174.22
St Lawrence,2685.6
Saratoga,811.84
Schenectady,206.1
Schoharie,622.02
Schuyler,328.71
Seneca,324.91
Steuben,1392.64
Suffolk,912.2
Sullivan,969.71
Tioga,518.69
Tompkins,476.05
Ulster,1126.48
Warren,869.29
Washington,835.44
Wayne,604.21
Westchester,432.82
Wyoming,592.91
Yates,338.24
